nombre,Ciudad,Departamento,Pais,descripcion
Comidas Rápidas Alguitos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Hamburguesas Y Comidas Carro Loco,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Restaurante Casa China,Rionegro,Antioquia,Colombia,"<span class=""grey""> / China, Restaurante</span>"
J&C Delicias,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
EL CHATO ORIGINAL,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>"
Granero Candilejas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
San Alitas Ribs & Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Viena,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Coffee houses, Barbacoa, Restaurante</span>"
Casa China,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, China</span>"
Pisco y Marisco,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Restaurante</span>"
Gaira Cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Restaurante</span>"
BELLA PASTA El Italiano,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Italiana</span>"
kokoriko,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Viena Buffet Restaurant,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Cafetería, Restaurante</span>"
Comidas Rápidas Ricuras de La Pola,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Dogger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Mingo's Catering 3108484850,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
So Happy,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
